iter	Passed	Remaining
301	10784	346323
302	10821	346315
303	10861	346421
304	10895	346342
305	10926	346136
306	10963	346153
307	10996	346046
308	11030	345929
309	11061	345770
310	11104	345964
311	11134	345740
312	11168	345664
313	11198	345449
314	11227	345215
315	11260	345092
316	11296	345048
317	11324	344788
318	11374	345184
319	11404	344999
320	11435	344807
321	11462	344527
322	11502	344612
323	11528	344298
324	11563	344225
325	11595	344088
326	11625	343881
327	11662	343894
328	11697	343860
329	11728	343692
330	11761	343577
331	11789	343308
332	11820	343140
333	11857	343157
334	11896	343221
335	11928	343073
336	11966	343130
337	11997	342964
338	12032	342907
339	12066	342833
340	12097	342664
341	12123	342358
342	12166	342546
343	12193	342281
344	12222	342040
345	12251	341845
346	12286	341793
347	12321	341734
348	12352	341573
349	12383	341431
350	12421	341466
351	12453	341337
352	12488	341285
353	12513	340983
354	12547	340909
355	12582	340850
356	12611	340659
357	12640	340456
358	12686	340701
359	12715	340496
360	12755	340571
361	12785	340402
362	12818	340316
363	12850	340177
364	12884	340117
365	12913	339918
366	12946	339817
367	12982	339793
368	13015	339697
369	13041	339429
370	13073	339319
371	13107	339232
372	13138	339106
373	13171	339013
374	13213	339142
375	13244	338997
376	13280	338987
377	13308	338775
378	13345	338779
379	13376	338633
380	13402	338380
381	13432	338195
382	13469	338217
383	13500	338064
384	13529	337898
385	13560	337742
386	13597	337755
387	13626	337571
388	13660	337507
389	13692	337403
390	13726	337328
391	13761	337295
392	13794	337201
393	13822	337011
394	13863	337121
395	13894	336987
396	13929	336950
397	13960	336804
398	13992	336692
399	14021	336527
400	14052	336375
